folio_id,line_id,unit_code,transcriber,section,currier,hand,paragraph_id,is_para_start,is_para_end,n_tokens,eva_raw,tokens
f1r,f1r.1,P0,H,T,A,1,1,True,False,10,fachys.ykal.ar.ataiin.shol.shory.cth!res.y.kor.sholdy!,fachys ykal ar ataiin shol shory cth!res y kor sholdy!
f1r,f1r.2,P0,H,T,A,1,1,False,False,11,sory.ckhar.o!r.y.kair.chtaiin.shar.are.cthar.cthar.dan!,sory ckhar o!r y kair chtaiin shar are cthar cthar dan!
f1r,f1r.3,P0,H,T,A,1,1,False,False,9,syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sa,syaiir sheky or ykaiin shod cthoary cthes daraiin sa
f1r,f1r.4,P0,H,T,A,1,1,False,False,9,o<!@o'>oiin.oteey.oteos.roloty.cth?ar.daiin.otaiin.or.okan,o!oiin oteey oteos roloty cth?ar daiin otaiin or okan
f1r,f1r.5,P0,H,T,A,1,1,False,False,6,dair.y.chear.cthaiin.cphar.cfhaiin,dair y chear cthaiin cphar cfhaiin
f1r,f1r.6,Pt,H,T,A,1,1,False,True,1,ydar!aish!!!y<$>,ydar!aish!y
f1r,f1r.7,P0,H,T,A,1,2,True,False,11,?<!@252>.odar.o.!!!!y.shol.cphoy.oydar.sh!.s.cfhoaiin.shodary,?! odar o !y shol cphoy oydar sh! s cfhoaiin shodary
f1r,f1r.8,P0,H,T,A,1,2,False,False,9,yshey.shody.okcho!y.otchol.chocthy.os!chy.dain.chor.kos,yshey shody okcho!y otchol chocthy os!chy dain chor kos
f1r,f1r.9,P0,H,T,A,1,2,False,False,4,daiin.shos.cfhol.shody,daiin shos cfhol shody
f1r,f1r.10,Pt,H,T,A,1,2,False,True,3,dain.os.teody<$>,dain os teody
f1r,f1r.11,P0,H,T,A,1,3,True,False,9,?<!@253>.ydain.cphesaiin.ol.s.cphey.ytain.shoshy.cphodal!es,?! ydain cphesaiin ol s cphey ytain shoshy cphodal!es
f1r,f1r.12,P0,H,T,A,1,3,False,False,8,oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin,oksho kshoy otairin oteol okan shodain sckhey daiin
f1r,f1r.13,P0,H,T,A,1,3,False,False,9,shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.she.oldain.d!,shoy ckhey kodaiin cphy cphodaiils cthey she oldain d!
f1r,f1r.14,P0,H,T,A,1,3,False,False,10,dain.oiin.chol.odaiin.chodain.chdy.okain.dan.cthy.kod!,dain oiin chol odaiin chodain chdy okain dan cthy kod!
f1r,f1r.15,P0,H,T,A,1,3,False,False,10,daiin.shckhey.ck<!@K>eor.chor.shey.kol.chol.chol.kor.chal,daiin shckhey ck!eor chor shey kol chol chol kor chal
f1r,f1r.16,P0,H,T,A,1,3,False,False,9,sho.chol.sh!odan.kshy.kchy.dor.chodaiin.sho.kch!om,sho chol sh!odan kshy kchy dor chodaiin sho kch!om
f1r,f1r.17,P0,H,T,A,1,3,False,False,8,ycho.tchey.chokain.sheo.pshol.dydyd.cthy.daicthy,ycho tchey chokain sheo pshol dydyd cthy daicthy
f1r,f1r.18,P0,H,T,A,1,3,False,False,8,yto.shol.she.kodshey.cphealy.das!ain.dain.ckhyds,yto shol she kodshey cphealy das!ain dain ckhyds
f1r,f1r.19,P0,H,T,A,1,3,False,False,8,dchar.shcthaiin.okaiir.chey.rchy.!potol.cthols.dloct<!@T>a,dchar shcthaiin okaiir chey rchy !potol cthols dloct!a
f1r,f1r.20,P0,H,T,A,1,3,False,False,5,shok.chor.chey.dain.ckhey,shok chor chey dain ckhey
f1r,f1r.21,Pt,H,T,A,1,3,False,True,2,otol.daiiin<$>,otol daiiin
f1r,f1r.22,P0,H,T,A,1,4,True,False,10,cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.chy.ro.d?,cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro d?
f1r,f1r.23,P0,H,T,A,1,4,False,False,10,?doin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cth!ar!!!,?doin chol dain cthal dar shear kaiin dar shey cth!ar!
f1r,f1r.24,P0,H,T,A,1,4,False,False,9,!cho?!o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar,!cho?!o kaiin shoaiin okol daiin far cthol daiin ctholdar
f1r,f1r.25,P0,H,T,A,1,4,False,False,9,ycheey.oka!y.oky.daiin.okchey.k!okaiin.??chol.k??chy.dal,ycheey oka!y oky daiin okchey k!okaiin ??chol k??chy dal
f1r,f1r.26,P0,H,T,A,1,4,False,False,9,d?eeo.shody.koshey.cthy.ok!chey.keey.keey.dal.chtor,d?eeo shody koshey cthy ok!chey keey keey dal chtor
f1r,f1r.27,P0,H,T,A,1,4,False,False,5,!?eo!.chol.chok.choty.chotey,!?eo! chol chok choty chotey
f1r,f1r.28,Pt,H,T,A,1,4,False,True,1,dchaiin<$>,dchaiin
f1v,f1v.1,P0,H,H,A,1,5,True,False,6,kchsy.chadaiin.ol<-><!plant>oltchey.char.cfhar.am,kchsy chadaiin ol!oltchey char cfhar am
f1v,f1v.2,P0,H,H,A,1,5,False,False,7,yteeay.char.or.ochy<-><!plant>dcho.lkody.okodar.chody,yteeay char or ochy!dcho lkody okodar chody
f1v,f1v.3,P0,H,H,A,1,5,False,False,8,d!o.ckhy.ckho.ckhy.shy<-><!plant>dksheey.cthy.kotchody.dal,d!o ckhy ckho ckhy shy!dksheey cthy kotchody dal
f1v,f1v.4,P0,H,H,A,1,5,False,False,5,dol.chokeo.dair.dam<-><!plant>sochey.chokody<$>,dol chokeo dair dam!sochey chokody
f1v,f1v.5,P0,H,H,A,1,5,False,False,8,potoy.shol.dair.cphoal<-><!plant>dar.chey.tody.otoaiin.shoshy,potoy shol dair cphoal!dar chey tody otoaiin shoshy
f1v,f1v.6,P0,H,H,A,1,5,False,False,9,choky.chol.cthol.shol.okal<-><!plant>dolchey.chodo.lol.chy.cthy,choky chol cthol shol okal!dolchey chodo lol chy cthy
f1v,f1v.7,P0,H,H,A,1,5,False,False,11,qo.ol.choeee.cheol.dol.cthey<-><!plant>ykol.dol.dolo.ykol.do.l!ch!!ody,qo ol choeee cheol dol cthey!ykol dol dolo ykol do l!ch!ody
f1v,f1v.8,P0,H,H,A,1,5,False,False,10,okol.shol.kol.kechy.chol.ky<-><!plant>chol.cthol.chody.chol.daiin,okol shol kol kechy chol ky!chol cthol chody chol daiin
f1v,f1v.9,P0,H,H,A,1,5,False,False,10,shor.okol.chol.dol.ky.dar<-><!plant>shol.dchor.otcho.dar.shody,shor okol chol dol ky dar!shol dchor otcho dar shody
f1v,f1v.10,P0,H,H,A,1,5,False,False,6,taor.chotchey.dal.chody<-><!plant>schody.pol.chodar<$>,taor chotchey dal chody!schody pol chodar
f2r,f2r.1,P0,H,H,A,1,6,True,False,5,kydainy.ypchol.daiin.otchal<-><!plant>ypchaiin.ckholsy<-><!plant>,kydainy ypchol daiin otchal!ypchaiin ckholsy!
f2r,f2r.2,P0,H,H,A,1,6,False,False,4,dorchory<-><!plant>chkar.s<-><!plant>shor.cthy.cth!,dorchory!chkar s!shor cthy cth!
f2r,f2r.3,P0,H,H,A,1,6,False,False,4,qotaiin<-><!plant>cthey.y<-><!plant>chor.chy.ydy<-><!plant>chaiin,qotaiin!cthey y!chor chy ydy!chaiin
f2r,f2r.4,P0,H,H,A,1,6,False,False,4,chaindy<-><!plant>chtod.dy<-><!plant>cphy.dal!s<-><!plant>chokaiin.d,chaindy!chtod dy!cphy dal!s!chokaiin d
f2r,f2r.5,P0,H,H,A,1,6,False,False,4,otochor.al<-><!plant>shodaiin<-><!plant>chol.!dan<-><!plant>ytchaiin.dan,otochor al!shodaiin!chol !dan!ytchaiin dan
f2r,f2r.6,P0,H,H,A,1,6,False,False,5,saiin.daind<-><!plant>d!kol.sor<-><!plant>ytoldy<-><!plant>dchol.dchy.cthy,saiin daind!d!kol sor!ytoldy!dchol dchy cthy
f2r,f2r.7,P0,H,H,A,1,6,False,False,4,shor.ckhy.daiiny<-><!plant>chol.dan<$><!plant>,shor ckhy daiiny!chol dan!
f2r,f2r.8,P0,H,H,A,1,6,False,False,8,kydain.shaiin.qoy.s.shol.fodan<-><!plant>yksh.olsheey.daiildy,kydain shaiin qoy s shol fodan!yksh olsheey daiildy
f2r,f2r.9,P0,H,H,A,1,6,False,False,9,dlssho.kol.sheey.qokey.ykody.so<-><!plant>chol.yky.dain.daiirol,dlssho kol sheey qokey ykody so!chol yky dain daiirol
f2r,f2r.10,P0,H,H,A,1,6,False,False,8,qoky.cholaiin.shol.sheky.daiin<-><!plant>cthey.keol.s!aiin.saiin,qoky cholaiin shol sheky daiin!cthey keol s!aiin saiin
f2r,f2r.11,P0,H,H,A,1,6,False,False,8,ychain.dal.chy.dalor.shan.dan<-><!plant>olsaiin.sheey.ckhor,ychain dal chy dalor shan dan!olsaiin sheey ckhor
f2r,f2r.12,P0,H,H,A,1,6,False,False,10,okol.chy.chor.cthor.yor.an.chan<-><!plant>saiin.chety.chyky.sal,okol chy chor cthor yor an chan!saiin chety chyky sal
f2r,f2r.13,P0,H,H,A,1,6,False,False,5,sho.ykeey.chey.daiin.chcthy<$>,sho ykeey chey daiin chcthy
f2v,f2v.1,P0,H,H,A,1,7,True,False,8,kooiin.cheo.pchor.otaiin.o.dain.chor<-><!plant>dair.shty,kooiin cheo pchor otaiin o dain chor!dair shty
f2v,f2v.2,P0,H,H,A,1,7,False,False,8,kcho.kchy.sho.shol.qotcho.loeees.qoty<-><!plant>chor.daiin,kcho kchy sho shol qotcho loeees qoty!chor daiin
f2v,f2v.3,P0,H,H,A,1,7,False,False,7,otchy.chor.lshy.chol.chody.chodain<-><!plant>chcthy.daiin,otchy chor lshy chol chody chodain!chcthy daiin
f2v,f2v.4,P0,H,H,A,1,7,False,False,4,sho.cholo.cheor.chodaiin<$>,sho cholo cheor chodaiin
f2v,f2v.5,P0,H,H,A,1,7,False,False,8,kchor.shy.daiiin.chckhoy<-><!plant>s.shey.dor.chol.daiin,kchor shy daiiin chckhoy!s shey dor chol daiin
f2v,f2v.6,P0,H,H,A,1,7,False,False,9,dor.chol.chor.chol.keol.chy.chty<-><!plant>daiin.otchor.chan,dor chol chor chol keol chy chty!daiin otchor chan
f2v,f2v.7,P0,H,H,A,1,7,False,False,6,daiin.chotchey.qoteeey.chokeos<-><!plant>chees.chr.cheaiin,daiin chotchey qoteeey chokeos!chees chr cheaiin
f2v,f2v.8,P0,H,H,A,1,7,False,False,5,chokoishe.chor.cheol.chol.dolody<$><!plant>,chokoishe chor cheol chol dolody!
f3r,f3r.1,P0,H,H,A,1,8,True,False,5,tsheos.qopal.chol.cthol.daimm,tsheos qopal chol cthol daimm
f3r,f3r.2,P0,H,H,A,1,8,False,False,5,ycheor.chor.dam.qotcham.cham<-><!plant>,ycheor chor dam qotcham cham!
f3r,f3r.3,P0,H,H,A,1,8,False,False,5,ochor.qocheor.chol.daiin.cthy<-><!plant>,ochor qocheor chol daiin cthy!
f3r,f3r.4,P0,H,H,A,1,8,False,False,6,schey.chor.chal.cham.cham.cho<-><!plant>,schey chor chal cham cham cho!
f3r,f3r.5,P0,H,H,A,1,8,False,False,5,qokol.chololy.s.cham.cthol<-><!plant>,qokol chololy s cham cthol!
f3r,f3r.6,P0,H,H,A,1,8,False,False,5,ychtaiin.chor.cthom.otal.dam<-><!plant>,ychtaiin chor cthom otal dam!
f3r,f3r.7,P0,H,H,A,1,8,False,False,5,otchol.qodaiin.chom.shom.damo<-><!plant>,otchol qodaiin chom shom damo!
f3r,f3r.8,P0,H,H,A,1,8,False,False,5,ysheor.chor.chol.oky.damo<-><!plant>,ysheor chor chol oky damo!
f3r,f3r.9,P0,H,H,A,1,8,False,False,5,sho.?or.sheoldam.otchody.ol<-><!plant>,sho ?or sheoldam otchody ol!
f3r,f3r.10,P0,H,H,A,1,8,False,False,3,ydas.chol.cthom<$>,ydas chol cthom
f3r,f3r.11,P0,H,H,A,1,8,False,False,5,pcheol.shol.sols.sheol.shey,pcheol shol sols sheol shey
f3r,f3r.12,P0,H,H,A,1,8,False,False,4,okadaiin.qokchor.qoschodam.octhy<-><!plant>,okadaiin qokchor qoschodam octhy!
f3r,f3r.13,P0,H,H,A,1,8,False,False,6,qokeey.qot.shey.qokody.qokchey.cheody<-><!plant>,qokeey qot shey qokody qokchey cheody!
f3r,f3r.14,P0,H,H,A,1,8,False,False,4,chor.qodair.okeey.qokeey<$>,chor qodair okeey qokeey
f3r,f3r.15,P0,H,H,A,1,8,False,False,7,tsheoarom.shor.or.chor.olchsy.chom.otchom<-><!plant>oporar,tsheoarom shor or chor olchsy chom otchom!oporar
f3r,f3r.16,P0,H,H,A,1,8,False,False,8,oteol.chol.s.cheol.ekshy.qokeom.qokol.daiin<-><!plant>soleeg,oteol chol s cheol ekshy qokeom qokol daiin!soleeg
f3r,f3r.17,P0,H,H,A,1,8,False,False,6,soeom.okeom.yteody.qokeeo.dal.sam<$>,soeom okeom yteody qokeeo dal sam
