cluster,role,n_total,n_initial,n_medial,n_final,n_only,pct_initial,ci_init_lo,ci_init_hi,pct_medial,ci_med_lo,ci_med_hi,pct_final,ci_fin_lo,ci_fin_hi,chi2,p_chi2,df
qokeedy,INIT,298,31,262,5,0,0.1040268456375839,0.07425785223688375,0.1438751022664054,0.8791946308724832,0.8372866630335687,0.9114504229081968,0.016778523489932886,0.0071874265119050255,0.038669738305668167,402.97315436241615,0.0,2
qokeey,INIT,306,32,264,10,0,0.10457516339869281,0.07505359698223953,0.14390215331081346,0.8627450980392157,0.8196675286437669,0.8968276095171515,0.032679738562091505,0.017845879274525283,0.05910182561726458,388.3137254901961,0.0,2
qokedy,INIT,260,19,234,7,0,0.07307692307692308,0.04727892150474328,0.11130713922260221,0.9,0.8575106193889954,0.9308411795691673,0.026923076923076925,0.013101320886065703,0.05452107073072254,376.5307692307691,0.0,2
qokaiin,INIT,257,25,221,11,0,0.09727626459143969,0.06675924792131732,0.13965567975892998,0.8599221789883269,0.8121697237484569,0.8970729737353802,0.042801556420233464,0.024064902619207594,0.07500518436078332,321.83657587548635,0.0,2
qokai!n,INIT,198,15,175,8,0,0.07575757575757576,0.0464443847836774,0.12121976373674653,0.8838383838383839,0.8317285758584666,0.9213371945278165,0.04040404040404041,0.020612918777837285,0.07768990878595532,270.3939393939394,0.0,2
qokar,INIT,147,7,136,4,0,0.047619047619047616,0.023255121206704137,0.09502524707366414,0.9251700680272109,0.8709784320428373,0.9577054323553129,0.027210884353741496,0.01063138544304169,0.06787215734621538,231.79591836734693,0.0,2
qokol,INIT,102,12,89,1,0,0.11764705882352941,0.068593790294468,0.19445589905263183,0.8725490196078431,0.794071763006565,0.9239823858347225,0.00980392156862745,0.0017326897927338984,0.05345921962662484,135.23529411764707,0.0,2
qoky,INIT,131,5,106,20,0,0.03816793893129771,0.016411091437379455,0.08623972255474167,0.8091603053435115,0.7334423284113565,0.8672624985856534,0.15267175572519084,0.10105740445609404,0.22407667879417884,136.04580152671755,0.0,2
qokal,INIT,180,11,159,8,2,0.07222222222222222,0.04268933217596355,0.11963301488803066,0.8833333333333333,0.8282312959914844,0.9224149124836376,0.05555555555555555,0.03045294395962398,0.09923261143153883,245.03333333333333,0.0,2
qokey,INIT,101,8,88,5,0,0.07920792079207921,0.04068048623667317,0.14857263466190143,0.8712871287128713,0.7921513093907918,0.9232135839339953,0.04950495049504951,0.021328195361982306,0.11069573407060934,131.66336633663366,0.0,2
fachys,INIT,1,1,0,0,0,1.0,0.20654329147389294,1,0.0,0,0.7934567085261071,0.0,0,0.7934567085261071,2.0000000000000004,0.3678794411714603,2
chedy,CLOSE,489,6,451,32,0,0.012269938650306749,0.005635148350930836,0.026508242142079492,0.9222903885480572,0.8951346349775849,0.9428628067968107,0.065439672801636,0.046732124210063467,0.09092184006567948,765.361963190184,0.0,2
