folio_id,section,n_tokens,freq_INIT,freq_CLOSE,freq_LINK,freq_ACT,freq_MODE,freq_TIME,freq_REF
f1r,T,212,0.0047169811320754715,0.0330188679245283,0.0047169811320754715,0.08018867924528301,0.06132075471698113,0.0047169811320754715,0.014150943396226415
f1v,H,80,0.0,0.0125,0.0,0.1,0.1125,0.0,0.025
f2r,H,78,0.02564102564102564,0.038461538461538464,0.0,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.0
f2v,H,55,0.0,0.01818181818181818,0.0,0.09090909090909091,0.18181818181818182,0.01818181818181818,0.0
f3r,H,111,0.036036036036036036,0.018018018018018018,0.009009009009009009,0.018018018018018018,0.15315315315315314,0.009009009009009009,0.018018018018018018
f3v,H,83,0.0,0.0,0.012048192771084338,0.03614457831325301,0.07228915662650602,0.0,0.012048192771084338
f4r,H,60,0.0,0.016666666666666666,0.0,0.06666666666666667,0.16666666666666666,0.0,0.016666666666666666
f4v,H,78,0.0,0.038461538461538464,0.0,0.02564102564102564,0.05128205128205128,0.01282051282051282,0.01282051282051282
f5r,H,56,0.017857142857142856,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0
f5v,H,45,0.0,0.0,0.0,0.15555555555555556,0.13333333333333333,0.022222222222222223,0.0
f6r,H,79,0.0,0.0,0.012658227848101266,0.0759493670886076,0.10126582278481013,0.012658227848101266,0.05063291139240506
f6v,H,113,0.0,0.0,0.0,0.02654867256637168,0.07964601769911504,0.0,0.0
f7r,H,52,0.0,0.019230769230769232,0.0,0.019230769230769232,0.09615384615384616,0.0,0.0
f7v,H,70,0.014285714285714285,0.04285714285714286,0.0,0.11428571428571428,0.04285714285714286,0.014285714285714285,0.014285714285714285
f8r,H,129,0.007751937984496124,0.031007751937984496,0.007751937984496124,0.06201550387596899,0.10077519379844961,0.0,0.015503875968992248
f8v,H,102,0.0,0.0196078431372549,0.0,0.06862745098039216,0.13725490196078433,0.0196078431372549,0.00980392156862745
f9r,H,73,0.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0684931506849315,0.0410958904109589,0.0136986301369863
f9v,H,72,0.013888888888888888,0.0,0.0,0.08333333333333333,0.1111111111111111,0.013888888888888888,0.0
f10r,H,86,0.0,0.0,0.0,0.06976744186046512,0.10465116279069768,0.011627906976744186,0.023255813953488372
f10v,H,53,0.03773584905660377,0.0,0.0,0.20754716981132076,0.07547169811320754,0.0,0.0
f11r,H,57,0.0,0.017543859649122806,0.0,0.14035087719298245,0.05263157894736842,0.0,0.0
f11v,H,43,0.0,0.0,0.0,0.046511627906976744,0.046511627906976744,0.0,0.0
f13r,H,75,0.013333333333333334,0.013333333333333334,0.0,0.06666666666666667,0.08,0.0,0.0
f13v,H,59,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.06779661016949153,0.01694915254237288,0.0,0.01694915254237288
f14r,H,73,0.0,0.0410958904109589,0.0,0.0958904109589041,0.0136986301369863,0.0,0.0
f14v,H,65,0.0,0.0,0.0,0.07692307692307693,0.015384615384615385,0.0,0.0
f15r,H,75,0.02666666666666667,0.02666666666666667,0.013333333333333334,0.02666666666666667,0.05333333333333334,0.013333333333333334,0.0
f15v,H,71,0.014084507042253521,0.0,0.0,0.04225352112676056,0.15492957746478872,0.014084507042253521,0.028169014084507043
f16r,H,75,0.013333333333333334,0.013333333333333334,0.0,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.0
f16v,H,73,0.0,0.0,0.0273972602739726,0.0410958904109589,0.0958904109589041,0.0,0.0
f17r,H,71,0.014084507042253521,0.0,0.014084507042253521,0.028169014084507043,0.08450704225352113,0.0,0.014084507042253521
f17v,H,134,0.007462686567164179,0.014925373134328358,0.029850746268656716,0.029850746268656716,0.06716417910447761,0.007462686567164179,0.05223880597014925
f18r,H,79,0.0,0.0,0.012658227848101266,0.10126582278481013,0.0759493670886076,0.0,0.02531645569620253
f18v,H,71,0.056338028169014086,0.0,0.0,0.04225352112676056,0.014084507042253521,0.0,0.028169014084507043
f19r,H,76,0.02631578947368421,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.013157894736842105
f19v,H,77,0.0,0.0,0.0,0.1038961038961039,0.05194805194805195,0.012987012987012988,0.012987012987012988
f20r,H,85,0.0,0.047058823529411764,0.0,0.07058823529411765,0.058823529411764705,0.011764705882352941,0.011764705882352941
f20v,H,88,0.0,0.011363636363636364,0.0,0.056818181818181816,0.11363636363636363,0.011363636363636364,0.011363636363636364
f21r,H,95,0.0,0.042105263157894736,0.010526315789473684,0.042105263157894736,0.09473684210526316,0.031578947368421054,0.010526315789473684
f21v,H,56,0.0,0.017857142857142856,0.0,0.10714285714285714,0.05357142857142857,0.0,0.0
f22r,H,99,0.030303030303030304,0.010101010101010102,0.0,0.15151515151515152,0.050505050505050504,0.010101010101010102,0.020202020202020204
f22v,H,69,0.028985507246376812,0.0,0.0,0.057971014492753624,0.043478260869565216,0.014492753623188406,0.0
f23r,H,101,0.039603960396039604,0.0,0.019801980198019802,0.1188118811881188,0.0297029702970297,0.0,0.0297029702970297
f23v,H,80,0.025,0.0,0.0375,0.0625,0.05,0.0,0.0125
f24r,H,107,0.0,0.018691588785046728,0.0,0.056074766355140186,0.06542056074766354,0.0,0.028037383177570093
f24v,H,80,0.0,0.0,0.0125,0.0125,0.0625,0.0,0.0125
f25r,H,48,0.0,0.0,0.020833333333333332,0.10416666666666667,0.020833333333333332,0.0,0.0
f25v,H,55,0.03636363636363636,0.0,0.0,0.23636363636363636,0.05454545454545454,0.0,0.0
f26r,H,68,0.08823529411764706,0.058823529411764705,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0
f26v,H,90,0.03333333333333333,0.07777777777777778,0.022222222222222223,0.044444444444444446,0.0,0.0,0.03333333333333333
f27r,H,82,0.012195121951219513,0.04878048780487805,0.0,0.036585365853658534,0.10975609756097561,0.0,0.0
f27v,H,51,0.0196078431372549,0.0,0.0,0.0,0.0392156862745098,0.0,0.0
f28r,H,59,0.01694915254237288,0.0,0.0,0.05084745762711865,0.01694915254237288,0.01694915254237288,0.0
f28v,H,63,0.0,0.0,0.0,0.06349206349206349,0.14285714285714285,0.0,0.0
f29r,H,60,0.016666666666666666,0.03333333333333333,0.0,0.0,0.1,0.016666666666666666,0.0
f29v,H,74,0.0,0.02702702702702703,0.04054054054054054,0.05405405405405406,0.08108108108108109,0.0,0.0
f30r,H,88,0.0,0.10227272727272728,0.0,0.022727272727272728,0.022727272727272728,0.011363636363636364,0.011363636363636364
f30v,H,63,0.0,0.015873015873015872,0.0,0.1111111111111111,0.06349206349206349,0.0,0.015873015873015872
f31r,H,101,0.06930693069306931,0.07920792079207921,0.0,0.06930693069306931,0.039603960396039604,0.039603960396039604,0.009900990099009901
f31v,H,108,0.009259259259259259,0.009259259259259259,0.05555555555555555,0.027777777777777776,0.009259259259259259,0.046296296296296294,0.037037037037037035
f32r,H,73,0.0,0.0410958904109589,0.0,0.1095890410958904,0.0273972602739726,0.0,0.0273972602739726
f32v,H,75,0.0,0.013333333333333334,0.0,0.16,0.09333333333333334,0.0,0.02666666666666667
f33r,H,72,0.027777777777777776,0.013888888888888888,0.06944444444444445,0.05555555555555555,0.0,0.09722222222222222,0.05555555555555555
f33v,H,88,0.0,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.03409090909090909,0.056818181818181816
f34r,H,118,0.0423728813559322,0.05084745762711865,0.0423728813559322,0.03389830508474576,0.00847457627118644,0.025423728813559324,0.025423728813559324
f34v,H,115,0.034782608695652174,0.11304347826086956,0.017391304347826087,0.017391304347826087,0.008695652173913044,0.017391304347826087,0.034782608695652174
f35r,H,88,0.0,0.011363636363636364,0.0,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.0
f35v,H,87,0.0,0.0,0.011494252873563218,0.09195402298850575,0.08045977011494253,0.0,0.011494252873563218
f36r,H,52,0.0,0.0,0.019230769230769232,0.07692307692307693,0.057692307692307696,0.0,0.0
f36v,H,69,0.0,0.0,0.014492753623188406,0.10144927536231885,0.014492753623188406,0.028985507246376812,0.0
f37r,H,72,0.041666666666666664,0.013888888888888888,0.013888888888888888,0.125,0.041666666666666664,0.0,0.013888888888888888
f37v,H,88,0.0,0.022727272727272728,0.0,0.125,0.056818181818181816,0.011363636363636364,0.0
f38r,H,35,0.0,0.05714285714285714,0.0,0.08571428571428572,0.0,0.05714285714285714,0.0
f38v,H,59,0.03389830508474576,0.01694915254237288,0.03389830508474576,0.13559322033898305,0.05084745762711865,0.05084745762711865,0.01694915254237288
